,Eccrine_gland,Endothelial,Fibroblast,Keratinocyte,Mast,Melanocyte,Myeloid,Nerve,Smooth_muscle,T_cell,condition
GSM372330,0.06802914444482507,0.08685716276833282,0.3582439541262399,0.28939627417355634,0.0,0.1974734644852014,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372331,0.05982704113585534,0.05945926489761262,0.4069076807827259,0.28416621191079167,0.0,0.18963980127113414,0.0,0.0,0.0,0.0,lesional
GSM372332,0.04144022687814208,0.06304617056546905,0.24904681527519543,0.3353829347075561,0.0,0.3110838525716843,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372333,0.06005051360838582,0.01286851644017675,0.3422446318329735,0.3164712666020432,0.0,0.26836507151450073,0.0,0.0,0.0,0.0,lesional
GSM372334,0.02428448606184644,0.04546258570238606,0.2709764129291588,0.3564300106101641,0.0,0.30284650469442526,0.0,0.0,0.0,0.0,lesional
GSM372335,0.051308148881519244,0.05453277343100251,0.3527163603262381,0.3007915472956933,0.0,0.2406511700636667,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372336,0.034793636440609614,0.07744908172974835,0.35666049715944786,0.30538888707973033,0.0,0.22570789758854923,0.0,0.0,0.0,0.0,lesional
GSM372337,0.01091893175186899,0.044563572523666224,0.3262245269550427,0.3396783512244945,0.0,0.27861461754294115,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372338,0.01290029784288819,0.04135041472872988,0.2135174651264196,0.38677195526056507,0.0,0.3454598670392908,0.0,0.0,0.0,0.0,lesional
GSM372339,0.014033550967941535,0.05811475205510026,0.29351747942742007,0.3456154935961304,0.0,0.28871872395143083,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372340,0.02037560736651598,0.07520320598546978,0.2786417275970856,0.3527028763907069,0.0,0.2730765826581967,0.0,0.0,0.0,0.0,lesional
GSM372341,0.013386243205636635,0.03544631406686396,0.21134610261910067,0.36022077024040505,0.0,0.3796005698659571,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372342,0.01115749047210044,0.06753982056558656,0.32125857810533537,0.33216149941553086,0.0,0.26788261143946807,0.0,0.0,0.0,0.0,lesional
GSM372343,0.013897843026959986,0.06790211708322197,0.2576080908655107,0.3395370779095705,0.0,0.32105487111274944,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372344,0.014091434402233845,0.08190213349000378,0.272433362022845,0.3550838197403986,0.0,0.27648925034248795,0.0,0.0,0.0,0.0,lesional
GSM372345,0.0483859477377023,0.04508745721685647,0.31968925125581626,0.32498981507911817,0.0,0.2618475287085708,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372346,0.03576031502762613,0.0693173400924791,0.32408248659223715,0.3288682772577133,0.0,0.2419715810279815,0.0,0.0,0.0,0.0,lesional
GSM372347,0.03874428051354167,0.044200088439499255,0.34295743731090944,0.31416314513301485,0.0,0.25993504860111116,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372348,0.03877605557702526,0.056967458024186124,0.34095257070995394,0.3078540295000824,0.0,0.2554498861868458,0.0,0.0,0.0,0.0,lesional
GSM372349,0.06387040340964353,0.027608188029215715,0.30386789323877145,0.3270235481951072,0.0,0.2776299671253306,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372350,0.014819505677444736,0.027790435953454172,0.29192409058466373,0.3652420132189038,0.0,0.30022395456332984,0.0,0.0,0.0,0.0,lesional
GSM372351,0.0670973188473837,0.08795936371163486,0.2930691417091081,0.32302895982812807,0.0,0.22884521590184662,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372352,0.058835667273957074,0.079555673712504,0.3273839965842923,0.31515339619245103,0.0,0.21907126623489095,0.0,0.0,0.0,0.0,lesional
GSM372353,0.06154426511804812,0.05492355067831106,0.3274241039515752,0.3135760799991571,0.0,0.24253200025101035,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372354,0.057348991771022935,0.04592861258093829,0.3124175585356745,0.34496608152888747,0.0,0.23933875558151252,0.0,0.0,0.0,0.0,lesional
GSM372355,0.06389604946570682,0.06283768833879937,0.3764045265563502,0.2758801478345268,0.0,0.22098158780278668,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372356,0.05618161125933638,0.0706919512990563,0.32385521577678394,0.30804202701962313,0.0,0.24122919464330414,0.0,0.0,0.0,0.0,lesional
GSM372357,0.062171672730888285,0.05583465862295469,0.37854886800140924,0.2949429001098294,0.0,0.2085019005330524,0.0,0.0,0.0,0.0,Uninvolved Skin
GSM372358,0.056240596270718014,0.08430988725075528,0.35846662458061906,0.3079837846396479,0.0,0.19299910725636457,0.0,0.0,0.0,0.0,lesional
GSM372359,0.06992611756427983,0.07125864955476563,0.3505579450614193,0.30088917611533733,0.0,0.20736811170233033,0.0,0.0,0.0,0.0,Uninvolved Skin
