gene,baseMean,log2FC_pseudobulk,lfcSE,stat,pvalue,padj_pseudobulk
WARS2,209.9421641523976,0.12471176242128387,0.14144842629501858,0.8816765635919689,0.3779517383008044,0.5203718660632449
WARS2-AS1,28.589388903773383,-0.2449506726345653,0.2935209593397181,-0.8345253203913862,0.4039850251532706,0.5437721430004323
WARS2-IT1,1.1153868018706334,-0.8920373223237451,0.9657766069330334,-0.9236476799293594,0.35566978071447297,0.497681396400992
WAS,56.17604750217499,0.2427672265710269,0.42467249560547804,0.5716575221687028,0.5675540173765444,0.6886085663824475
WASF1,100.49710988710306,-0.4509977592644292,0.25242555992042104,-1.7866564677784984,0.0739930290431437,0.15463367892328841
WASF2,2747.5871006071557,-0.040195149959063724,0.15834015871464888,-0.2538531619859053,0.7996090009654369,0.8657371267291016
WASF3,89.6884712038038,-0.8675660299452694,0.4146909642035882,-2.0920784507842494,0.03643149848572505,0.08921999629157155
WASF3-AS1,0.7506353234099671,-0.16359503813844162,1.3734190104016928,-0.1191151694416942,0.9051841128306879,0.9387615386513639
WASHC1,383.81372556016925,-0.4163279172051026,0.2802292264349495,-1.4856691520066916,0.13736665396604247,0.24785980369837446
WASHC2A,271.43195956841475,-0.4009144806287063,0.19013319774806142,-2.1085980006497524,0.03497929561441749,0.08648660195901813
WASHC2C,269.80735547534164,-0.44191002930290824,0.20605325472461908,-2.144639888816613,0.031981650440285246,0.08072065304584435
WASHC3,852.7620952020142,-0.09561249542533365,0.11850508079610281,-0.8068219082508569,0.41976909514926664,0.5584067051602188
WASHC4,487.4186531338652,-0.2603508526072476,0.18706653554494987,-1.3917553551136803,0.16399649344248612,0.28204227857741576
WASHC5,259.28163272799617,-0.0017310184912240844,0.12792530536557825,-0.013531478281621217,0.9892037718617834,0.9929369204094097
WASIR1,0.22106674812864105,0.42929708049422854,2.2666925079152582,0.18939361161477758,0.8497843310559606,
WASIR2,2.6563362364404974,-0.5972672851873969,1.130522738967473,-0.528310722642246,0.597283690567162,0.7116628343010309
WASL,968.972675111888,-0.3129533626759429,0.20002755620498705,-1.5645512479052146,0.11768816766925545,0.22069765107338882
WASL-DT,307.7451209317509,0.25117884346858593,0.21057150750363454,1.1928434499346996,0.232930689819975,0.3662471206181276
WBP1,30.563932849287973,-0.5746513544330428,0.259746074806332,-2.2123581842824986,0.026941925756865995,0.07023182013261627
WBP11,1025.3535803814282,-0.4768203506289305,0.14079146829457545,-3.3867133882806586,0.0007073524313035395,0.0037022905985404564
WBP1L,389.39935969004273,-0.31977862902138,0.17004091496557347,-1.880598143606334,0.06002660446794862,0.13131588195774094
WBP2,991.6839321091833,-0.2210060071371717,0.14524196336983816,-1.5216401789778282,0.12809926425786017,0.23523042336209535
WBP2NL,14.570287255256666,-0.28910813467264723,0.3367003556994278,-0.858651111526398,0.390533030277344,0.5317981337960008
