gene,log2FC,padj,baseMean,log2FC_pseudobulk,lfcSE,stat,pvalue,padj_pseudobulk,same_direction
LYPD5,2.13,3.86e-17,130.27147405712978,-0.08459158266950687,0.36558406314380365,-0.23138750070796302,0.8170137747043373,0.878245500961143,False
TMEM54,2.13,9.41e-32,2701.0234516882556,1.2309369604125835,0.2973293292757746,4.13997826386943,3.4733873125255975e-05,0.000301224332097226,True
KIF4A,2.127,4.4299999999999996e-24,56.27903874403392,0.9130435213041115,0.4753711153468511,1.9206962556778735,0.054770011943337034,0.12230919551590999,True
IVL,2.126,3.63e-13,2219.59235150302,1.3097829169990534,0.3796977653584794,3.449540757139996,0.0005615409560143616,0.0030598252093027457,True
ERAP2,2.125,1.01e-12,218.43762982955434,0.3305659825315772,0.5670311419048885,0.5829767681208328,0.5599089396704509,0.6828235770117517,True
KIF2C,2.123,6.310000000000001e-21,77.78000379802307,1.2133021432502145,0.4617352524804626,2.6277009102776985,0.008596406145964302,0.02854776667876205,True
PKP3,2.11,4.82e-13,4424.136440033796,1.0671568156305518,0.3941497622818743,2.7074906996071704,0.006779397026361953,0.023622825527421093,True
BRIP1,2.107,2.56e-29,43.32057405761477,0.4164997158636396,0.39492664268130057,1.0546255199088914,0.2915966274698515,0.43241306920098166,True
PYCARD,2.103,6.9300000000000005e-37,6343.980151091077,1.7149763487430219,0.27390096401429265,6.261300886306962,3.8177907140913887e-10,1.6710657715777062e-08,True
KLRB1,2.1,5.15e-18,246.6775627021989,1.5410418319303079,0.5440559835538963,2.8325059892988866,0.0046184700958517184,0.01731318379210121,True
SMOX,2.096,1.5600000000000002e-32,147.44360679954434,0.49379591225941366,0.29626060103893437,1.6667620011832733,0.09556173884255605,0.1883719768989477,True
POLE2,2.094,1e-46,65.28602504074836,0.6747187043682524,0.2578890161276283,2.6163142366417675,0.008888471472704142,0.029330720014979217,True
AFTPH-DT,2.093,1.5e-29,106.44240683507593,0.10019060725469628,0.30997936592470215,0.32321702109370026,0.7465308911854077,0.8266407379844639,True
IDO1,2.082,5.18e-10,19.22651448785837,3.251424230468134,0.5656217060722046,5.748407806070074,9.00877450400146e-09,2.6837855426146607e-07,True
