gene,log2FC,padj
RABGAP1L,-2.05,3.35e-12
HNRNPM,-2.051,9.98e-19
PPP1R15A,-2.051,1.42e-22
MALAT1,-2.058,6.56e-11
CAVIN2,-2.062,4.19e-15
ZBTB10,-2.064,9.450000000000001e-31
APOD,-2.068,5.05e-09
CYP1B1,-2.072,1.56e-07
PCDH9,-2.072,6.48e-13
ADRB1,-2.074,5.92e-16
FNBP1L,-2.077,2.5199999999999998e-42
ZC3H11A,-2.077,7.49e-15
IGFBP6,-2.081,3.19e-09
PDLIM3,-2.083,1.16e-19
FLT1,-2.085,3.87e-23
N4BP2L1,-2.085,4.13e-12
PRKAR2B,-2.088,9.04e-12
CLIC5,-2.089,1.6e-18
CHRM3,-2.09,4.33e-20
GLDC,-2.09,8.76e-15
IMMP2L,-2.09,3.0600000000000003e-21
PPP1R3C,-2.091,4.9e-14
UST,-2.093,3.02e-19
CCNL1,-2.096,5.52e-12
LYVE1,-2.099,5.64e-10
SORBS1,-2.103,3.85e-10
FBXO32,-2.105,3.39e-14
TBX3,-2.106,1.37e-14
PIK3R1,-2.107,3.3e-27
ATP1A2,-2.112,1.19e-11
UBN2,-2.113,6.22e-23
SLC26A2,-2.114,2.28e-19
KRT15,-2.116,4.39e-14
PALM2AKAP2,-2.117,7.65e-20
INSR,-2.12,1.96e-24
SOCS2,-2.121,3.82e-13
TALAM1,-2.125,3.31e-20
LARP6,-2.126,2.4e-24
ACKR1,-2.129,2.54e-13
ENPP5,-2.129,6.76e-26
IGHG2,-2.129,2.35e-05
MRAS,-2.129,2.68e-15
MAOA,-2.13,1.2800000000000001e-21
BCL6,-2.131,1.32e-14
BHLHE40,-2.135,1.05e-11
KMT2A,-2.136,1.0700000000000001e-29
VTCN1,-2.138,6.19e-12
KCNK5,-2.141,9.31e-20
TIMP3,-2.143,1.75e-16
SF1,-2.144,7.27e-13
EPCAM,-2.152,8.76e-19
TMEM213,-2.153,9.39e-18
ZNF677,-2.153,1.6100000000000002e-33
FKBP5,-2.16,1.05e-08
INSIG1,-2.165,7.78e-27
PHLDA1,-2.165,3.77e-13
RORC,-2.165,4.38e-23
IL6ST,-2.166,1.11e-18
SOCS3,-2.167,6.7e-12
FRYL,-2.168,2.5600000000000003e-21
GREM2,-2.168,2.35e-16
ROPN1,-2.17,8.01e-17
ADAMTS15,-2.171,7.31e-12
RSPO3,-2.177,4.67e-13
TNFAIP3,-2.179,1.1200000000000002e-21
GPRC5A,-2.186,1.04e-14
BHLHE41,-2.187,7.78e-16
HMGCS2,-2.187,1.83e-14
DAZ3,-2.188,4.95e-09
KLHL24,-2.189,1.36e-29
AKAP12,-2.19,4.92e-15
NFAT5,-2.194,5.99e-26
SAPCD1,-2.198,1.42e-16
BAG4,-2.2,1.25e-30
ZSCAN18,-2.204,2.21e-40
PLIN2,-2.206,1.29e-16
FXYD6,-2.211,8.580000000000001e-21
DDIT3,-2.215,4.8399999999999994e-30
MUC1,-2.215,6.17e-16
ZFP36L1,-2.217,1.25e-28
CCL27,-2.218,4.6e-11
DDX17,-2.219,1.83e-08
FAR2,-2.223,3.41e-09
SOX5,-2.224,2.4599999999999998e-30
CDC42BPA,-2.227,1.14e-14
IGFBP5,-2.227,4.65e-15
TF,-2.232,3.61e-08
SFRP1,-2.234,3.16e-16
SOX17,-2.239,1.1e-19
TM4SF1,-2.24,1.29e-12
KRT79,-2.246,9.07e-08
WDR33,-2.248,7.17e-27
CLSTN2,-2.251,1.42e-16
NAMPT,-2.252,3.17e-13
